object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","public","HolidaySetup.Key","HolidaySetup","Key","character varying(4000)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","HolidaySetup.No","HolidaySetup","No","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","HolidaySetup.Url","HolidaySetup","Url","character varying(4000)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","HolidaySetup.show","HolidaySetup","show","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","_departs.departno","_departs","departno","integer|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.applicationno","authority_moduleaccessrestriction","applicationno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.departno","authority_moduleaccessrestriction","departno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.moduleaccessrestrictionno","authority_moduleaccessrestriction","moduleaccessrestrictionno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.regdate","authority_moduleaccessrestriction","regdate","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.reguserno","authority_moduleaccessrestriction","reguserno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.userno","authority_moduleaccessrestriction","userno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_moduleaccessrestriction.userofdepart","authority_moduleaccessrestriction","userofdepart","character varying(10)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_modulepermission.applicationno","authority_modulepermission","applicationno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_modulepermission.departno","authority_modulepermission","departno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","authority_modulepermission.modulepermissionno","authority_modulepermission","modulepermissionno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
