object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","dbo","_TCACompany.AuthStockQty","_TCACompany","AuthStockQty","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.BMSeq","_TCACompany","BMSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CellPhone","_TCACompany","CellPhone","nvarchar(60)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CompanyName","_TCACompany","CompanyName","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CompanyNo","_TCACompany","CompanyNo","nvarchar(60)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CompanySeq","_TCACompany","CompanySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CompanyShortName","_TCACompany","CompanyShortName","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.CustSeq","_TCACompany","CustSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.DSNSeq","_TCACompany","DSNSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.IssueStockQty","_TCACompany","IssueStockQty","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.LastDateTime","_TCACompany","LastDateTime","datetime|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.LastUserSeq","_TCACompany","LastUserSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.OrderSeq","_TCACompany","OrderSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.Owner","_TCACompany","Owner","nvarchar(60)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.OwnerID","_TCACompany","OwnerID","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.OwnerJpName","_TCACompany","OwnerJpName","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.SetUpDate","_TCACompany","SetUpDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.StockAmt","_TCACompany","StockAmt","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCACompany.SttlMonth","_TCACompany","SttlMonth","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.CompanySeq","_TCAUser","CompanySeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.CustSeq","_TCAUser","CustSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.DeptSeq","_TCAUser","DeptSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.Dsn","_TCAUser","Dsn","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.EmpSeq","_TCAUser","EmpSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.IsGroupWareUser","_TCAUser","IsGroupWareUser","nvarchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.IsLayoutAdmin","_TCAUser","IsLayoutAdmin","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.IsScndAuthCS","_TCAUser","IsScndAuthCS","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.IsScndAuthMBL","_TCAUser","IsScndAuthMBL","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.IsScndAuthWEB","_TCAUser","IsScndAuthWEB","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LastDateTime","_TCAUser","LastDateTime","datetime|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LastUserSeq","_TCAUser","LastUserSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LicenseType","_TCAUser","LicenseType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginDate","_TCAUser","LoginDate","nvarchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginFailCnt","_TCAUser","LoginFailCnt","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginFailFirstTime","_TCAUser","LoginFailFirstTime","datetime|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginPwd","_TCAUser","LoginPwd","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginStatus","_TCAUser","LoginStatus","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.LoginType","_TCAUser","LoginType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.ManagementType","_TCAUser","ManagementType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.PassHis","_TCAUser","PassHis","nvarchar(4000)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.Password1","_TCAUser","Password1","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.Password2","_TCAUser","Password2","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.Password3","_TCAUser","Password3","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.PwdChgDate","_TCAUser","PwdChgDate","nvarchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.PwdMailAdder","_TCAUser","PwdMailAdder","nvarchar(100)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.PwdType","_TCAUser","PwdType","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.Remark","_TCAUser","Remark","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.ScndAuthTypeCS","_TCAUser","ScndAuthTypeCS","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.ScndAuthTypeMBL","_TCAUser","ScndAuthTypeMBL","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.ScndAuthTypeWEB","_TCAUser","ScndAuthTypeWEB","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.SMUserType","_TCAUser","SMUserType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserId","_TCAUser","UserId","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserlimitDate","_TCAUser","UserlimitDate","nvarchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserName","_TCAUser","UserName","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserSecu","_TCAUser","UserSecu","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserSeq","_TCAUser","UserSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserType","_TCAUser","UserType","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.CompanySeq","_TCOMCalendarHoliday","CompanySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.CountrySeq","_TCOMCalendarHoliday","CountrySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.HolidayName","_TCOMCalendarHoliday","HolidayName","nvarchar(100)|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.IsCommon","_TCOMCalendarHoliday","IsCommon","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.LastDateTime","_TCOMCalendarHoliday","LastDateTime","datetime|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.LastUserSeq","_TCOMCalendarHoliday","LastUserSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.Remark","_TCOMCalendarHoliday","Remark","nvarchar(100)|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.SMHolidayType","_TCOMCalendarHoliday","SMHolidayType","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.Solar","_TCOMCalendarHoliday","Solar","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.BirthDate","_TDAEmpIn","BirthDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Cellphone","_TDAEmpIn","Cellphone","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
