object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","public","_tcacompany.authstockqty","_tcacompany","authstockqty","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.bmseq","_tcacompany","bmseq","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.cellphone","_tcacompany","cellphone","character varying(30)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.companyname","_tcacompany","companyname","character varying(100)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.companyno","_tcacompany","companyno","character varying(30)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.companyseq","_tcacompany","companyseq","integer|nullable=0","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.companyshortname","_tcacompany","companyshortname","character varying(100)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.custseq","_tcacompany","custseq","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.dsnseq","_tcacompany","dsnseq","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.issuestockqty","_tcacompany","issuestockqty","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.lastdatetime","_tcacompany","lastdatetime","timestamp without time zone|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.lastuserseq","_tcacompany","lastuserseq","integer|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.orderseq","_tcacompany","orderseq","integer|nullable=0","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.owner","_tcacompany","owner","character varying(30)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.ownerid","_tcacompany","ownerid","character varying(200)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.ownerjpname","_tcacompany","ownerjpname","character varying(100)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.setupdate","_tcacompany","setupdate","character(8)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
"COLUMN","public","_tcacompany.stockamt","_tcacompany","stockamt","numeric(19,5)|nullable=1","PostgreSQL:pg_converter_runtime_test","TABLE"
